Full Name,Email Address,Lead Source,Activity,Pageviews ,Email_Opens,Time on Site (seconds),Extra Column??
Owen Lopez,owen.lopez57,,Viewed pricing page,N/A,,,irrelevant
,unknown@yahoo.com,tiktok Ads,downloaded EBOOK,,unknown,missing,
Alex Walker,alex.walker@company.com,GOOGLE ADS,,, ,missing,irrelevant
Robin Miller,robin.miller@gmail.com,,,9,7,missing,irrelevant
Jordan Hall,jordan.hall@gmail.com,,Visited landing page,5,1,missing, 
Sam Brown,sam.brown97,Organic search,Visited landing page,7,8,missing,
Alex Johnson,alex.johnson@outlook.com,Facebook ads,Requested Demo,,unknown,166,3
Cameron Brown,cameron.brown@company.com,,Signed-Up,12,unknown,114, 
Morgan Brown,morgan.brown@yahoo.com,tiktok Ads,Viewed pricing page,7,,missing,irrelevant
Alex Smith,alex.smith@outlook.com,,,1, ,missing,
Laurie Green,laurie.green12,Referral,clicked email,N/A,8,missing,
Taylor Anderson,taylor.anderson98,linkedIn,Signed-Up,N/A,2,missing, 
Robin Lopez,robin.lopez@gmail.com,,clicked email,,,356, 
Owen Lewis,owen.lewis@company.com,linkedIn,clicked email,N/A,,,delete me
Chris Green,chris.green@outlook.com,,Visited landing page,, ,missing,delete me
,unknown@gmail.com,,Requested Demo,N/A,6,,4
Maya Miller,maya.miller@outlook.com,Referral,Visited landing page,7,,missing, 
Chris Brown,chris.brown@outlook.com,,downloaded EBOOK,12, ,255, 
Leo Green,leo.green@outlook.com,,,1,,,delete me
,unknown@outlook.com,Facebook ads,Viewed pricing page,0,unknown,missing,
Cameron Smith,cameron.smith@yahoo.com,,Viewed pricing page,,,, 
Alex Lopez,alex.lopez@company.com,linkedIn,,, ,148,irrelevant
Eli Brown,eli.brown@outlook.com,Referral,,0,3,, 
Laura Lopez,laura.lopez@gmail.com,tiktok Ads,downloaded EBOOK,,unknown,195, 
Lina Hall,lina.hall@company.com,,Visited landing page,,unknown,,4
Chris Allen,chris.allen@gmail.com,Referral,,5,unknown,missing,delete me
Maya Scott,maya.scott@company.com,Organic search,Requested Demo,N/A,0,missing,irrelevant
Morgan Walker,morgan.walker@gmail.com,Facebook ads,,,8,,
Maya Brown,maya.brown@outlook.com,Organic search,,0,unknown,,delete me
,unknown@gmail.com,Referral,Visited landing page,N/A,2,missing,
Lina Walker,lina.walker@gmail.com,Organic search,Viewed pricing page,N/A,unknown,,irrelevant
Lina Young,lina.young@outlook.com,Facebook ads,,,,63,2
Laurie Anderson,laurie.anderson@outlook.com,,clicked email,, ,529,delete me
Jordan Allen,jordan.allen@gmail.com,,Visited landing page,,unknown,277,irrelevant
Jamie Miller,jamie.miller@outlook.com,GOOGLE ADS,clicked email,,,358, 
,unknown@yahoo.com,GOOGLE ADS,downloaded EBOOK,N/A,unknown,139,delete me
Jamie King,jamie.king@company.com,Facebook ads,downloaded EBOOK,4,,332,delete me
Zach Scott,zach.scott@outlook.com,,Visited landing page,,,,
Laura Allen,laura.allen@gmail.com,tiktok Ads,,2, ,,irrelevant
Nina Martinez,nina.martinez@outlook.com,linkedIn,Requested Demo,,,missing,delete me
Nina Smith,nina.smith@outlook.com,linkedIn,,5,unknown,, 
Nina Brown,nina.brown@yahoo.com,Organic search,Visited landing page,, ,missing,2
Alex Green,alex.green@company.com,,Requested Demo,,,missing,irrelevant
Cameron Hall,cameron.hall@company.com,Organic search,downloaded EBOOK,,,, 
